	chr	start	end	value	area	cluster	indexStart	indexEnd	L	clusterL	name	annotation	description	region	distance	subregion	insideDistance	exonnumber	nexons	UTR	strand	geneL	codingL	Geneid	subjectHits
3319	chr10	134971927	134971927	-0.076806579	0.076806579	30534	272773	272773	1	5	KNDC1	NM_001347864 NM_001347865 NM_001347866 NM_152643 NP_001334793 NP_001334794 NP_001334795 NP_689856 XM_017016858 XM_017016859 XP_016872347 XP_016872348	promoter	promoter	2044	NA	NA	NA	30	NA	+	65945	NA	85442	66948
3140	chr10	131813474	131813474	-0.076763543	0.076763543	29865	270457	270457	1	11	C10orf143	NM_001355042 NP_001341971 NR_034125 NR_149170	downstream	downstream	95607	NA	NA	NA	8	NA	-	46919	NA	387723	32750
11337	chr8	72751354	72751354	-0.076736466	0.076736466	190017	229225	229225	1	1	MSC	NM_005098 NP_005089	downstream	downstream	5377	NA	NA	NA	2	NA	-	2954	NA	9242	70218
8891	chr5	72594851	72594851	-0.076721625	0.076721625	153204	135866	135866	1	25	TMEM174	NM_153217 NP_694949	downstream	downstream	125828	NA	NA	NA	2	NA	+	1947	NA	134288	10851
9402	chr6	30131361	30131361	-0.076705736	0.076705736	163338	160472	160472	1	37	TRIM15	NM_033229 NM_052812 NP_150232 XM_011514987 XM_011514988 XP_011513289 XP_011513290	inside exon	inside	378	inside exon	0	1	7	5' UTR	+	9490	NA	89870	68559
8841	chr5	37836246	37836246	-0.076701811	0.076701811	151726	132778	132778	1	29	GDNF	NM_000514 NM_001190468 NM_001190469 NM_001278098 NM_199231 NM_199234 NP_000505 NP_001177397 NP_001177398 NP_001265027 NP_954701 XM_011514030 XM_017009337 XP_011512332 XP_016864826	inside intron	inside	3536	inside intron	-1321	2	3	5' UTR	-	27003	NA	2668	24544
5316	chr16	1131805	1131805	-0.076686742	0.076686742	72162	370992	370992	1	8	SSTR5	NM_001053 NM_001172560 NM_001172572 NM_001172573 NP_001044 NP_001166031	downstream	downstream	3024	NA	NA	NA	1	NA	+	2673	NA	6755	55340
2242	chr1	162950512	162950512	-0.076669325	0.076669325	14173	34068	34068	1	1	RGS4	NM_001102445 NM_001113380 NM_001113381 NM_005613 NP_001095915 NP_001106851 NP_001106852 NP_005604	upstream	upstream	87884	NA	NA	NA	6	NA	+	8196	NA	5999	50606
8513	chr5	498425	498425	-0.076663197	0.076663197	149604	127772	127772	1	7	SLC9A3	NM_001284351 NM_004174 NP_001271280 NP_004165	inside intron	inside	26124	inside intron	-6238	2	17	inside transcription region	-	51215	NA	6550	54546
1223	chr4	48342263	48342263	0.076636358	0.076636358	143501	115080	115080	1	1	SLAIN2	NM_020846 NP_065897 XM_005248121 XP_005248178	promoter	promoter	1350	NA	NA	NA	8	NA	+	84602	NA	57606	49023
3462	chr11	5301844	5301844	-0.076602545	0.076602545	31968	277715	277715	1	1	HBG2	NM_000184 NP_000175	inside intron	inside	365167	inside intron	-25448	6	7	inside transcription region	-	391489	NA	3048	28614
10338	chr7	96650096	96650096	-0.076598942	0.076598942	179564	205385	205385	1	51	DLX5	NM_005221 NP_005212 XM_005250185 XM_017011803 XP_005250242 XP_016867292	inside exon	inside	4047	inside exon	0	3	3	inside transcription region	-	4441	NA	1749	15277
10523	chr7	155757295	155757295	-0.076578481	0.076578481	184201	215818	215818	1	1	SHH	NM_000193 NM_001310462 NP_000184 NP_001297391 NR_132318 NR_132319 XM_011516479 XM_011516480 XP_011514781 XP_011514782	upstream	upstream	152328	NA	NA	NA	3	NA	-	9409	NA	6469	53305
4296	chr12	132892133	132892133	-0.076567827	0.076567827	52430	325687	325687	1	6	GALNT9	NM_001122636 NM_021808 NP_001116108 NP_068580 XM_017019371 XM_017019372 XM_017019373 XM_017019374 XM_017019375 XM_017019376 XP_016874860 XP_016874861 XP_016874862 XP_016874863 XP_016874864 XP_016874865	inside intron	inside	13772	inside intron	13418	1	6	inside transcription region	-	81912	NA	50614	38509
6540	chr19	56220025	56220025	-0.076564429	0.076564429	102318	449200	449200	1	1	NLRP9	NM_176820 NP_789790 XM_011526894 XM_011526895 XP_011525196 XP_011525197	inside exon	inside	29743	inside exon	0	9	9	3'UTR	-	29970	NA	338321	30167
3000	chr10	119313075	119313075	-0.076552459	0.076552459	28660	267637	267637	1	5	EMX2	NM_001165924 NM_004098 NP_001159396 NP_004089	downstream	downstream	11119	NA	NA	NA	2	NA	+	7101	NA	2018	16764
7779	chr3	44762171	44762171	-0.076551853	0.076551853	130915	87352	87352	1	1	ZNF502	NM_001134440 NM_001134441 NM_001134442 NM_001282880 NM_033210 NP_001127912 NP_001127913 NP_001127914 NP_001269809 NP_149987 XM_017007440 XP_016862929	inside intron	inside	8036	inside intron	193	3	3	inside transcription region	+	11188	NA	91392	69582
2503	chr1	247751498	247751498	-0.076529119	0.076529119	20171	46565	46565	1	1	OR2G2	NM_001001915 NP_001001915	promoter	promoter	164	NA	NA	NA	1	NA	+	953	NA	81470	63235
7288	chr20	44691505	44691505	-0.076520071	0.076520071	121329	457109	457109	1	1	NCOA5	NM_001348148 NM_001348149 NM_001348150 NM_001348151 NM_020967 NP_001335077 NP_001335078 NP_001335079 NP_001335080 NP_066018 XM_005260474 XM_011528951 XM_017027988 XP_005260531 XP_011527253 XP_016883477	inside exon	inside	27075	inside exon	0	8	8	inside transcription region	-	28954	NA	57727	49346
8771	chr5	5288296	5288296	-0.076512239	0.076512239	150411	130316	130316	1	6	ADAMTS16	NM_139056 NP_620687 NR_136935 XR_001742032 XR_001742033	inside intron	inside	147853	inside intron	15084	19	23	inside transcription region	+	179969	NA	170690	15054
8391	chr4	175897327	175897327	-0.076465244	0.076465244	148469	125281	125281	1	1	ADAM29	NM_001130703 NM_001130704 NM_001130705 NM_001278125 NM_001278126 NM_001278127 NM_014269 NP_001124175 NP_001124176 NP_001124177 NP_001265054 NP_001265055 NP_001265056 NP_055084 XM_011531556 XM_011531557 XM_011531559 XM_011531560 XM_011531561 XP_011529858 XP_011529859 XP_011529861 XP_011529862 XP_011529863	inside exon	inside	57818	inside exon	0	2	2	inside transcription region	+	59822	NA	11086	6890
758	chr17	55931447	55931447	0.076463222	0.076463222	87454	409036	409036	1	1	MRPS23	NM_016070 NP_057154	upstream	upstream	4014	NA	NA	NA	5	NA	-	11146	NA	51649	40605
10510	chr7	155592263	155592263	-0.076453998	0.076453998	184165	215720	215720	1	3	SHH	NM_000193 NM_001310462 NP_000184 NP_001297391 NR_132318 NR_132319 XM_011516479 XM_011516480 XP_011514781 XP_011514782	downstream	downstream	9503	NA	NA	NA	4	NA	-	9030	NA	6469	53303
986	chr2	218487226	218487226	0.076440884	0.076440884	116167	74861	74861	1	1	DIRC3	NR_026597	inside intron	inside	134090	inside intron	-21673	2	13	inside transcription region	-	472570	NA	729582	57876
8327	chr4	113906536	113906536	-0.076398741	0.076398741	146109	120540	120540	1	1	ANK2	NM_001127493 NM_001148 NM_001354225 NM_001354228 NM_001354230 NM_001354231 NM_001354232 NM_001354235 NM_001354236 NM_001354237 NM_001354239 NM_001354240 NM_001354241 NM_001354242 NM_001354243 NM_001354244 NM_001354245 NM_001354246 NM_001354249 NM_001354252 NM_001354253 NM_001354254 NM_001354255 NM_001354256 NM_001354257 NM_001354258 NM_001354260 NM_001354261 NM_001354262 NM_001354264 NM_001354265 NM_001354266 NM_001354267 NM_001354268 NM_001354269 NM_001354270 NM_001354271 NM_001354272 NM_001354273 NM_001354274 NM_001354275 NM_001354276 NM_001354277 NM_001354278 NM_001354279 NM_001354280 NM_001354281 NM_001354282 NM_020977 NP_001120965 NP_001139 NP_001341154 NP_001341157 NP_001341159 NP_001341160 NP_001341161 NP_001341164 NP_001341165 NP_001341166 NP_001341168 NP_001341169 NP_001341170 NP_001341171 NP_001341172 NP_001341173 NP_001341174 NP_001341175 NP_001341178 NP_001341181 NP_001341182 NP_001341183 NP_001341184 NP_001341185 NP_001341186 NP_001341187 NP_001341189 NP_001341190 NP_001341191 NP_001341193 NP_001341194 NP_001341195 NP_001341196 NP_001341197 NP_001341198 NP_001341199 NP_001341200 NP_001341201 NP_001341202 NP_001341203 NP_001341204 NP_001341205 NP_001341206 NP_001341207 NP_001341208 NP_001341209 NP_001341210 NP_001341211 NP_066187 XM_005262945 XM_017008067 XM_017008068 XM_017008069 XM_017008070 XM_017008071 XM_017008072 XM_017008073 XM_017008074 XM_017008075 XM_017008076 XM_017008077 XM_017008078 XM_017008079 XM_017008080 XM_017008081 XM_017008082 XM_017008083 XM_017008084 XM_017008085 XM_017008086 XM_017008087 XM_017008088 XM_017008089 XM_017008090 XM_017008091 XM_017008092 XM_017008093 XM_017008094 XM_017008095 XM_017008096 XM_017008097 XM_017008098 XM_017008099 XM_017008100 XM_017008101 XM_017008102 XM_017008103 XM_017008104 XM_017008105 XM_017008106 XM_017008107 XM_017008108 XM_017008109 XM_017008110 XM_017008111 XM_017008112 XP_005263002 XP_016863556 XP_016863557 XP_016863558 XP_016863559 XP_016863560 XP_016863561 XP_016863562 XP_016863563 XP_016863564 XP_016863565 XP_016863566 XP_016863567 XP_016863568 XP_016863569 XP_016863570 XP_016863571 XP_016863572 XP_016863573 XP_016863574 XP_016863575 XP_016863576 XP_016863577 XP_016863578 XP_016863579 XP_016863580 XP_016863581 XP_016863582 XP_016863583 XP_016863584 XP_016863585 XP_016863586 XP_016863587 XP_016863588 XP_016863589 XP_016863590 XP_016863591 XP_016863592 XP_016863593 XP_016863594 XP_016863595 XP_016863596 XP_016863597 XP_016863598 XP_016863599 XP_016863600 XP_016863601	inside intron	inside	167297	inside intron	-80865	2	47	inside transcription region	+	565657	NA	287	27329
10619	chr7	157415538	157415538	-0.076368014	0.076368014	184490	216750	216750	1	2	PTPRN2	NM_001308267 NM_001308268 NM_002847 NM_130842 NM_130843 NP_001295196 NP_001295197 NP_002838 NP_570857 NP_570858 XM_011516446 XM_011516447 XM_011516448 XM_011516449 XM_017012475 XM_017012476 XP_011514748 XP_011514749 XP_011514750 XP_011514751 XP_016867964 XP_016867965	inside intron	inside	964944	inside intron	-1336	14	22	inside transcription region	-	1048732	NA	5799	49621
9717	chr6	161863721	161863721	-0.076334328	0.076334328	171301	185111	185111	1	1	PRKN	NM_004562 NM_013987 NM_013988 NP_004553 NP_054642 NP_054643 XM_011535863 XM_017010908 XM_017010909 XP_011534165 XP_016866397 XP_016866398 XR_001743443	inside intron	inside	1285113	inside intron	-55811	12	14	inside transcription region	-	1380244	NA	5071	38607
7505	chr21	46765150	46765150	-0.076276209	0.076276209	124406	464695	464695	1	1	LOC642852	NR_026943	downstream	downstream	57169	NA	NA	NA	3	NA	+	9288	NA	642852	52548
7522	chr21	48056967	48056967	-0.076275465	0.076275465	124692	465288	465288	1	1	PRMT2	NM_001242864 NM_001242865 NM_001242866 NM_001286676 NM_001286677 NM_001286678 NM_001535 NM_206962 NP_001229793 NP_001229794 NP_001229795 NP_001273605 NP_001273606 NP_001273607 NP_001526 NP_996845 XM_005261111 XM_006723998 XM_006723999 XM_006724000 XM_017028339 XM_017028340 XP_005261168 XP_006724061 XP_006724062 XP_006724063 XP_016883828 XP_016883829 XR_001754841	inside intron	inside	1460	inside intron	-64	2	7	inside transcription region	+	29648	NA	3275	29897
10961	chr8	7128706	7128706	-0.076263163	0.076263163	185871	220490	220490	1	1	FAM66B	NR_027423	downstream	downstream	84168	NA	NA	NA	8	NA	-	69141	NA	100128890	367
9009	chr5	156642345	156642345	-0.076262568	0.076262568	158165	146689	146689	1	1	ITK	NM_005546 NP_005537 XM_017009443 XP_016864932	inside intron	inside	34438	inside intron	-1014	4	17	inside transcription region	+	74202	NA	3702	31789
4972	chr14	105070864	105070864	-0.076257536	0.076257536	64165	352858	352858	1	8	TMEM179	NM_001286389 NM_001286390 NM_207379 NP_001273318 NP_001273319 XM_011536745 XM_011536746 XM_011536750 XP_011535047 XP_011535048 XP_011535052 XR_943433 XR_943435 XR_943436	inside exon	inside	233	inside exon	0	1	3	inside transcription region	-	10677	NA	388021	32807
10792	chr8	1080555	1080555	-0.076256315	0.076256315	185257	218869	218869	1	5	NA	NA	inside intron	inside	392968	inside intron	6743	4	4	inside transcription region	+	400190	NA	619343	51236
3011	chr10	120788696	120788696	-0.076255956	0.076255956	28733	267776	267776	1	5	NANOS1	NM_001009553 NM_199461 NP_955631	promoter	promoter	532	NA	NA	NA	1	NA	+	4626	NA	340719	30580
8835	chr5	36067343	36067343	-0.076244457	0.076244457	151650	132572	132572	1	7	UGT3A2	NM_001168316 NM_174914 NP_001161788 NP_777574 NR_031764 XM_011513988 XM_017009150 XP_011512290 XP_016864639	promoter	promoter	320	NA	NA	NA	6	NA	-	31904	NA	167127	14840
10530	chr7	155853358	155853358	-0.076242573	0.076242573	184211	215852	215852	1	1	SHH	NM_000193 NM_001310462 NP_000184 NP_001297391 NR_132318 NR_132319 XM_011516479 XM_011516480 XP_011514781 XP_011514782	upstream	upstream	248391	NA	NA	NA	3	NA	-	9409	NA	6469	53305
6410	chr19	43203368	43203368	-0.076241652	0.076241652	99785	442240	442240	1	1	PSG3	NM_021016 NP_066296 XM_011527126 XM_011527127 XP_011525428 XP_011525429	downstream	downstream	236858	NA	NA	NA	8	NA	-	214432	NA	5671	47179
3318	chr10	134971734	134971734	-0.07623525	0.07623525	30534	272771	272771	1	5	KNDC1	NM_001347864 NM_001347865 NM_001347866 NM_152643 NP_001334793 NP_001334794 NP_001334795 NP_689856 XM_017016858 XM_017016859 XP_016872347 XP_016872348	promoter	promoter	2237	NA	NA	NA	30	NA	+	65945	NA	85442	66948
6809	chr2	66982917	66982917	-0.076232877	0.076232877	107669	57163	57163	1	1	MEIS1	NM_002398 NP_002389 XM_005264321 XM_005264322 XM_005264323 XM_005264324 XM_005264325 XM_017004141 XM_017004142 XM_017004143 XM_017004144 XM_017004145 XM_017004146 XP_005264378 XP_005264379 XP_005264380 XP_005264381 XP_005264382 XP_016859630 XP_016859631 XP_016859632 XP_016859633 XP_016859634 XP_016859635 XR_001738744 XR_001738745 XR_001738746 XR_244932 XR_244933	downstream	downstream	316464	NA	NA	NA	12	NA	+	133438	NA	4211	35279
4270	chr12	132699738	132699738	-0.076228858	0.076228858	52388	325525	325525	1	2	GALNT9	NM_001122636 NM_021808 NP_001116108 NP_068580 XM_017019371 XM_017019372 XM_017019373 XM_017019374 XM_017019375 XM_017019376 XP_016874860 XP_016874861 XP_016874862 XP_016874863 XP_016874864 XP_016874865	inside intron	inside	206167	inside intron	-11502	7	11	inside transcription region	-	224988	NA	50614	38508
6951	chr2	125180279	125180279	-0.076222603	0.076222603	111267	65047	65047	1	1	CNTNAP5	NM_130773 NM_138996 NP_570129 XM_006712258 XM_017003316 XP_006712321 XP_016858805	inside intron	inside	397415	inside intron	-5111	4	24	inside transcription region	+	889999	NA	129684	10331
345	chr11	59333490	59333490	0.076200677	0.076200677	35451	285427	285427	1	3	OSBP	NM_002556 NP_002547	downstream	downstream	50127	NA	NA	NA	14	NA	-	41746	NA	5007	38300
10925	chr8	2060983	2060983	-0.076189424	0.076189424	185627	219980	219980	1	3	MYOM2	NM_003970 NP_003961 XM_006716237 XP_006716300	inside intron	inside	67825	inside intron	2768	13	24	inside transcription region	+	100222	NA	9172	69785
10368	chr7	103343261	103343261	-0.076165679	0.076165679	180501	207953	207953	1	1	RELN	NM_005045 NM_173054 NP_005036 NP_774959	inside intron	inside	286702	inside intron	-1807	9	65	inside transcription region	-	517732	NA	5649	47003
10488	chr7	155246688	155246688	-0.076152866	0.076152866	184098	215502	215502	1	4	EN2	NM_001427 NP_001418	upstream	upstream	4136	NA	NA	NA	2	NA	+	6702	NA	2020	16779
9515	chr6	44134066	44134066	-0.076143531	0.076143531	165657	173325	173325	1	1	CAPN11	NM_007058 NP_008989 XM_006714984 XM_006714985 XM_006714987 XM_011514274 XM_011514275 XP_006715047 XP_006715048 XP_006715050 XP_011512576 XP_011512577 XR_001743134 XR_001743135 XR_001743136 XR_926042 XR_926043 XR_926044	inside intron	inside	7518	inside intron	428	2	23	inside transcription region	+	25591	NA	11131	7048
2214	chr1	159141440	159141440	-0.076128397	0.076128397	13691	32905	32905	1	10	CADM3	NM_001127173 NM_001346510 NM_021189 NP_001120645 NP_001333439 NP_067012	inside exon	inside	63	inside exon	0	1	9	5' UTR	+	31555	NA	57863	49549
7895	chr3	116799871	116799871	-0.07610036	0.07610036	134791	95372	95372	1	1	TUSC7	NR_015391	downstream	downstream	371236	NA	NA	NA	4	NA	+	7252	NA	285194	26838
9170	chr6	436594	436594	-0.076089949	0.076089949	160364	151729	151729	1	5	IRF4	NM_001195286 NM_002460 NP_001182215 NP_002451 NR_036585 NR_046000 XM_006715090 XP_006715153	downstream	downstream	44855	NA	NA	NA	9	NA	+	19704	NA	3662	31633
6308	chr19	15873988	15873988	-0.07608267	0.07608267	97125	434967	434967	1	1	CYP4F24P	NR_033864	inside intron	inside	16810	inside intron	-2280	9	10	inside transcription region	-	20654	NA	388514	32892
1480	chr6	168811263	168811263	0.076062719	0.076062719	172024	186903	186903	1	3	SMOC2	NM_001166412 NM_022138 NP_001159884 NP_071421 XM_011536065 XM_011536066 XP_011534367 XP_011534368	upstream	upstream	30568	NA	NA	NA	13	NA	+	226843	NA	64094	52206
10906	chr8	1626697	1626697	-0.076054476	0.076054476	185461	219462	219462	1	3	DLGAP2	NM_001277161 NM_001346810 NM_004745 NP_001264090 NP_001333739 NP_004736 NR_073397	inside exon	inside	177165	inside exon	0	8	11	inside transcription region	+	207110	NA	9228	70097
2903	chr10	86863762	86863762	-0.076054012	0.076054012	26118	261469	261469	1	1	GRID1-AS1	NR_038986	upstream	upstream	473726	NA	NA	NA	3	NA	+	29484	NA	100507470	2362
9684	chr6	152955983	152955983	-0.076045749	0.076045749	170539	183616	183616	1	1	SYNE1	NM_001099267 NM_001134379 NM_001347701 NM_001347702 NM_015293 NM_033071 NM_133650 NM_182961 NP_001334630 NP_001334631 NP_149062 NP_892006 XM_006715407 XM_006715408 XM_006715409 XM_006715410 XM_006715411 XM_006715412 XM_006715413 XM_006715414 XM_006715415 XM_006715416 XM_006715417 XM_006715420 XM_006715421 XM_006715422 XM_006715423 XM_006715424 XM_006715425 XM_011535641 XM_011535642 XM_011535643 XM_011535644 XM_011535645 XM_017010608 XM_017010609 XM_017010610 XM_017010611 XM_017010612 XM_017010613 XM_017010614 XM_017010615 XM_017010616 XM_017010617 XM_017010618 XM_017010619 XP_006715470 XP_006715471 XP_006715472 XP_006715473 XP_006715474 XP_006715475 XP_006715476 XP_006715477 XP_006715478 XP_006715479 XP_006715480 XP_006715483 XP_006715484 XP_006715485 XP_006715486 XP_006715487 XP_006715488 XP_011533943 XP_011533944 XP_011533945 XP_011533946 XP_011533947 XP_016866097 XP_016866098 XP_016866099 XP_016866100 XP_016866101 XP_016866102 XP_016866103 XP_016866104 XP_016866105 XP_016866106 XP_016866107 XP_016866108 XR_001743287	inside intron	inside	2551	inside intron	1789	2	16	5' UTR	-	159483	NA	23345	20637
5242	chr15	93974164	93974164	-0.076039932	0.076039932	71024	367942	367942	1	7	RGMA	NM_001166283 NM_001166286 NM_001166287 NM_001166288 NM_001166289 NM_020211 NP_001159755 NP_001159758 NP_001159759 NP_001159760 NP_001159761 NP_064596	upstream	upstream	341721	NA	NA	NA	4	NA	-	45807	NA	56963	47545
5561	chr16	86254105	86254105	-0.076038076	0.076038076	79283	387730	387730	1	4	LINC02135	NR_038438	upstream	upstream	65932	NA	NA	NA	3	NA	+	6958	NA	146513	12229
11435	chr8	105995203	105995203	-0.076030567	0.076030567	191652	232561	232561	1	1	ZFPM2	NM_012082 NP_036214 XM_011516947 XM_011516948 XP_011515249 XP_011515250	upstream	upstream	335944	NA	NA	NA	8	NA	+	485620	NA	23414	20876
5618	chr16	89018083	89018083	-0.076025836	0.076025836	80162	390082	390082	1	3	CBFA2T3	NM_005187 NM_175931 NP_005178 NP_787127 XM_005256323 XM_011523419 XM_017023811 XP_005256380 XP_011521721 XP_016879300 XR_933473	inside intron	inside	25421	inside intron	24981	1	6	inside transcription region	-	92050	NA	863	67326
3621	chr11	59244104	59244104	-0.076021528	0.076021528	35440	285387	285387	1	1	OR4D10	NM_001004705 NP_001004705	promoter	promoter	799	NA	NA	NA	1	NA	+	935	NA	390197	33270
3779	chr11	122395107	122395107	-0.076020701	0.076020701	41110	299428	299428	1	1	UBASH3B	NM_032873 NP_116262 XM_005271712 XM_011543041 XM_011543042 XP_005271769 XP_011541343 XP_011541344	upstream	upstream	131291	NA	NA	NA	14	NA	+	158789	NA	84959	66478
6260	chr19	8661264	8661264	-0.07597801	0.07597801	95899	431346	431346	1	3	ADAMTS10	NM_001282352 NM_030957 NP_001269281 NP_112219 XM_006722917 XM_017027338 XM_017027339 XM_017027340 XP_006722980 XP_016882827 XP_016882828 XP_016882829 XR_001753770	inside exon	inside	14324	inside exon	0	9	23	inside transcription region	-	25809	NA	81794	63561
2829	chr10	45701157	45701157	-0.075968558	0.075968558	23552	256402	256402	1	2	ANKRD30BP3	NR_033891	downstream	downstream	51047	NA	NA	NA	8	NA	+	31379	NA	338579	30196
4015	chr12	55725839	55725839	-0.075967939	0.075967939	46699	312211	312211	1	2	OR6C3	NM_054104 NP_473445	inside exon	inside	354	inside exon	0	1	1	inside transcription region	+	935	NA	254786	22257
7738	chr3	21792991	21792991	-0.075967508	0.075967508	129613	84607	84607	1	8	ZNF385D	NM_024697 NP_078973 XM_011534122 XM_011534123 XM_011534124 XM_017007191 XM_017007192 XM_017007193 XM_017007194 XM_017007195 XM_017007196 XM_017007197 XM_017007198 XM_017007199 XM_017007200 XM_017007201 XM_017007202 XM_017007203 XP_011532424 XP_011532425 XP_011532426 XP_016862680 XP_016862681 XP_016862682 XP_016862683 XP_016862684 XP_016862685 XP_016862686 XP_016862687 XP_016862688 XP_016862689 XP_016862690 XP_016862691 XP_016862692	inside intron	inside	621132	inside intron	98156	3	7	inside transcription region	-	935661	NA	79750	61135
5204	chr15	87410878	87410878	-0.07595711	0.07595711	70345	366394	366394	1	1	AGBL1	NM_152336 NP_689549 XM_011521226 XM_011521227 XM_011521228 XM_011521230 XM_017021918 XM_017021919 XM_017021920 XM_017021921 XP_011519528 XP_011519529 XP_011519530 XP_011519532 XP_016877407 XP_016877408 XP_016877409 XP_016877410 XR_931750 XR_931751	inside intron	inside	725636	inside intron	120339	23	24	inside transcription region	+	887041	NA	123624	9432
9950	chr7	1333612	1333612	-0.075943105	0.075943105	172960	189860	189860	1	2	UNCX	NM_001080461 NP_001073930	downstream	downstream	60958	NA	NA	NA	3	NA	+	3959	NA	340260	30497
4582	chr13	112054947	112054947	-0.075938391	0.075938391	57270	336386	336386	1	4	TEX29	NM_001303133 NM_152324 NP_001290062 NP_689537 XM_017020387 XM_017020388 XP_016875876 XP_016875877 XR_001749478	downstream	downstream	81932	NA	NA	NA	6	NA	+	23579	NA	121793	9274
8441	chr4	184829966	184829966	-0.07591701	0.07591701	148820	125946	125946	1	1	STOX2	NM_020225 NP_064610 NR_132761 XM_011532129 XM_011532130 XM_011532131 XM_017008466 XM_017008467 XP_011530431 XP_011530432 XP_011530433 XP_016863955 XP_016863956 XR_938767	inside intron	inside	3457	inside intron	-1856	1	4	inside transcription region	+	112366	NA	56977	47568
9528	chr6	58399793	58399793	-0.075905855	0.075905855	166520	175004	175004	1	3	GUSBP4	NM_206908 NM_206910 NM_206912 NR_132999 NR_133000	upstream	upstream	112069	NA	NA	NA	5	NA	-	15364	NA	375513	32190
7990	chr3	152017240	152017240	-0.075902966	0.075902966	137352	100905	100905	1	4	MBNL1	NM_001314057 NM_021038 NM_207292 NM_207293 NM_207294 NM_207295 NM_207296 NM_207297 NP_001300986 NP_066368 NP_997175 NP_997176 NP_997177 NP_997178 NP_997179 NP_997180 XM_005247457 XM_005247458 XM_005247460 XM_005247461 XM_005247462 XM_005247463 XM_005247464 XM_005247465 XM_005247466 XM_005247467 XM_005247468 XM_005247471 XM_005247474 XM_005247475 XM_005247476 XM_005247477 XM_006713639 XM_011512843 XM_011512845 XM_011512846 XM_011512847 XM_011512848 XM_011512849 XM_017006423 XM_017006424 XM_017006425 XM_017006426 XM_017006427 XM_017006428 XM_017006429 XM_017006430 XM_017006431 XM_017006432 XM_017006433 XM_017006434 XM_017006435 XM_017006436 XM_017006437 XM_017006438 XM_017006439 XM_017006440 XM_017006441 XM_017006442 XM_017006443 XP_005247514 XP_005247515 XP_005247517 XP_005247518 XP_005247519 XP_005247520 XP_005247521 XP_005247522 XP_005247523 XP_005247524 XP_005247525 XP_005247528 XP_005247531 XP_005247532 XP_005247533 XP_005247534 XP_006713702 XP_011511145 XP_011511147 XP_011511148 XP_011511149 XP_011511150 XP_011511151 XP_016861912 XP_016861913 XP_016861914 XP_016861915 XP_016861916 XP_016861917 XP_016861918 XP_016861919 XP_016861920 XP_016861921 XP_016861922 XP_016861923 XP_016861924 XP_016861925 XP_016861926 XP_016861927 XP_016861928 XP_016861929 XP_016861930 XP_016861931 XP_016861932 XR_001740145 XR_001740146 XR_001740147 XR_001740148	inside exon	inside	46	inside exon	0	1	8	5' UTR	+	166375	NA	4154	35098
10781	chr8	1010092	1010092	-0.075871647	0.075871647	185237	218808	218808	1	2	NA	NA	inside intron	inside	322505	inside intron	77206	4	4	inside transcription region	+	400190	NA	619343	51236
5300	chr16	772142	772142	-0.075855095	0.075855095	71972	370305	370305	1	5	FAM173A	NM_001271285 NM_023933 NP_001258214 NP_076422 XR_243298	inside intron	inside	1000	inside intron	166	4	4	inside transcription region	+	1448	NA	65990	54774
3908	chr12	4923529	4923529	-0.075841654	0.075841654	43046	303596	303596	1	5	KCNA6	NM_002235 NP_002226 XM_005253686 XM_011520955 XM_017019270 XM_017019271 XM_017019272 XP_005253743 XP_011519257 XP_016874759 XP_016874760 XP_016874761	inside exon	inside	5187	inside exon	0	1	2	3'UTR	+	41936	NA	3742	31876
3723	chr11	101323578	101323578	-0.075835386	0.075835386	39486	295743	295743	1	1	TRPC6	NM_004621 NP_004612 XM_011542968 XM_017018221 XM_017018222 XP_011541270 XP_016873710 XP_016873711 XR_001747948	inside exon	inside	131081	inside exon	0	11	11	3'UTR	-	132364	NA	7225	57239
11633	chr9	34263021	34263021	-0.075833545	0.075833545	195327	240370	240370	1	2	KIF24	NM_194313 NP_919289 XM_005251451 XM_006716764 XM_011517861 XM_011517863 XM_017014697 XM_017014698 XP_005251508 XP_006716827 XP_011516163 XP_011516165 XP_016870186 XP_016870187	inside intron	inside	66177	inside intron	77	9	13	inside transcription region	-	76820	NA	347240	30931
4200	chr12	130642779	130642779	-0.075803972	0.075803972	51901	324174	324174	1	1	FZD10-AS1	NR_033834	inside intron	inside	3989	inside intron	-2451	2	4	inside transcription region	-	10630	NA	440119	36057
